Category 1,Category 2,Cat. 1,Cat. 2,top_3_asin
Computing & Tablet,PC & Notebook Accessories,IT & Office,IT Essentials,"['Tapis de souris ""Work in Progress""', 'Hama Tapis de souris porte-documents (personnalisable avec photos, images ou cartes postales, 23 x 19,5 cm) Transparent/Noir', 'Hama Tapis de Souris (1 pièce, Taille de 22,3 cm x 18,3 cm x 0,6 cm, en EVA/Jersey) Couleur aléatoire Parmi Bleu/Rouge']"
Computing & Tablet,PC & Notebook Accessories,IT & Office,Installation & Tools,"[""Hama Jeu de tournevis (universels, également adapté aux appareils Apple, 10 inserts amovibles (Phillips, Torx, Pentalob), ensemble d'outils, 12 pièces) Noir/Argent"", nan]"
Computing & Tablet,PC & Notebook Accessories,IT & Office,Media Storage & Organization,"['Hama Album CD/DVD/Blu-Ray (pour 28 CD/DVD/Blu-ray, construction stable avec panneaux latéraux en bois) Noir/Marron', nan]"
Computing & Tablet,PC & Notebook Energie,Computing & Tablet,PC & Notebook Energy,"['Hama 65W Chargeur Rapide Universel pour PC Portable 15-19V - [8 Adaptateurs] [Protection Contre la surchauffe & sur-tensions] Noir', nan]"
Computing & Tablet,PC & Notebook Energie,IT & Office,Energy,"['Hama 65W Chargeur Rapide Universel pour PC Portable 15-19V - [8 Adaptateurs] [Protection Contre la surchauffe & sur-tensions] Noir', nan]"
Computing & Tablet,PC & Notebook Energy,Computing & Tablet,PC & Notebook Energy,"['Hama 90W Chargeur Rapide Universel pour PC Portable 12-22V - [8 Adaptateurs] [Protection Contre la surchauffe & sur-tensions] [Temoin LED] Noir', nan, nan]"
Computing & Tablet,PC & Notebook Energy,IT & Office,Energy,"['Hama 90W Chargeur Rapide Universel pour PC Portable 15-19V - [8 Adaptateurs] [Protection Contre la surchauffe & sur-tensions] Noir', 'Hama 65W Chargeur Rapide Type C pour PC Portable, iPhone, Samsung, Smartphone, Macbook - [Technologie GaN, PD + QC 3.0] [Recharge Optimisée] [Câble Type C Inclus] Blanc', nan]"
Computing & Tablet,PC & Notebook Energy,Mobile Communication,Energy,"[nan, nan]"
Computing & Tablet,PC & Notebook Zubehör,Computing & Tablet,Mouse/Keyboards,"[""Hama Tapis de Souris 'Football' (Idéal Fans de Foot/Coupe du Monde 2022, Idée Cadeau Original, Tapis Ergonomique, Belle Finition surfilée) Vert""]"
Computing & Tablet,PC & Notebook Zubehör,IT & Office,IT Essentials,"[""Hama Tapis de Souris 'Football' (Idéal Fans de Foot/Coupe du Monde 2022, Idée Cadeau Original, Tapis Ergonomique, Belle Finition surfilée) Vert""]"
Computing & Tablet,Speakers/Microfones/Headsets,-,-,[nan]
