Programme=[Retail],Aperçu du distributeur.=[Approvisionnement.],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Mois],Champ de vision.=[01/06/2024 - 30/06/2024],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B07SZ3FCZH,"Hama Album photo mémo ""Forest"" (pour 200 photos au format 10 x 15 cm, album traditionnel enfant de 22,5 x 22 cm, 100 pages blanches, animaux, élégant, emplacement CD) Marron/Beige/Vert/Orange/Jaune",Hama,"303,53 €","569,45 %","-79,50 %","123,86 €","372,03 %","-86,30 %",24,"500,00 %","-82,86 %",,,"-100,00 %"
B00SL6I2WI,"Hama Album Photo Jumbo ""Fine Art"" (Album 30x30cm, 50 feuilles/100 pages blanches, pour coller 400 Photos de 10x15 cm, Look livre sans spirale, Couverture personnalisable, Idée cadeau) Noir",Hama,"298,62 €","-57,16 %","-68,99 %","163,44 €","-52,83 %","-73,50 %",20,"-51,22 %","-71,43 %",,"-100,00 %",
B00005UPC8,"Hama Boîtier standard double (pour CD et disques Blu-Ray, Étui protecteur pour CD, paquet de 10) Transparent",Hama,"294,30 €","65,33 %","217,68 %","187,88 €","64,71 %","250,00 %",28,"64,71 %","250,00 %",3,,
B07T63BHGL,"Hama Album photo ""Hello Panda"" (pour 200 photos au format 10 x 15 cm, petit album de taille 22,5 x 22 cm, 100 pages blanches, panda, avec emplacement pour CD, élégant) Turquoise/Noir/Blanc",Hama,"294,28 €","16,36 %","-20,52 %","207,12 €","66,28 %","-5,85 %",30,"66,67 %","-6,25 %",1,,
B0015NLFGE,"Hama Chemin de câbles (Bande en PVC/Aluminium pour Montage Mural TV ou au Sol, Cache-câble Demi-Rond, 100 x 7 x 2,1 cm, entrée de câble jusqu'à 8 câbles) Gris",Hama,"293,36 €","25,41 %","17,00 %","220,00 €","33,33 %","29,68 %",16,"33,33 %","23,08 %",,"-100,00 %",
B0009V8VAQ,"Hama Etui pour Lecteur et CD (pour Lecteur CD, pour Discman, 3 CD, avec Sortie de câble et Boucle de Ceinture) Noir/Bleu",Hama,"292,15 €","-20,70 %","74,86 %","158,41 €","3,33 %","55,72 %",31,"3,33 %","55,00 %",1,"-87,50 %","0,00 %"
B0000AISCF,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 21 x 29,7 cm (DIN 4) avec bordure de 9 mm x 17 mm, pour une photo de 15 x 20 cm) Noir",Hama,"290,93 €","-35,16 %","41,68 %","180,65 €","-8,53 %","82,83 %",46,"-8,00 %","84,00 %",4,"-33,33 %",
B00UV84E4O,"Hama Album photo vierge ""Anzio"" (album photo traditionnel format 22,8 cm x 22,3 cm, pour 200 photos 10 cm x 15 cm, 100 pages, instax, minimax, idéal pour un mariage) Beige/Noir",Hama,"289,85 €","-30,05 %","268,02 %","146,74 €","-32,35 %","283,33 %",23,"-32,35 %","283,33 %",,"-100,00 %",
B01AT3K7NC,"Xavax Couvercle universel (anneau en silicone pour casseroles/poêles de diamètre 16, 18 ou 20 cm, trou de vapeur, design à bords gradués, verre, va lave-vaisselle, peu encombrant) Noir/Transparent",xavax,"284,46 €","85,42 %","161,74 %","167,21 €","130,00 %","187,50 %",23,"130,00 %","187,50 %",,,
B07B9NPHCZ,"Hama Album photo minimax ""Designline"" (album de 13 x 16,5 cm, insertion par le haut de 100 photos format 10 x 15 cm, 100 pages (1 photo/page), pas d'inscription) Feathers",Hama,"280,52 €","124,78 %","4 395,51 %","183,48 €","120,00 %","6 500,00 %",66,"120,00 %","6 500,00 %",1,,
B07CKR6PKL,"Hama Album photo enfant ""Batzi"" (taille de l'album de 19 x 25 cm, format pour 200 photos 10 x 15 cm, avec 100 pages, papier stratifié, insertion latérale des photos, ours assis) Marron",Hama,"272,91 €","-35,36 %","40,62 %","166,14 €","-23,53 %","62,50 %",26,"-23,53 %","62,50 %",,"-100,00 %",
B0000AHIF7,"Hama Cadre portrait (taille de cadre 10x15 cm, taille de photos 10x15 cm, acrylique, format vertical, en plastique, 1 photo par cadre, élégant, simple, classique) Gris",Hama,"271,53 €","-29,33 %","60,48 %","102,69 €","-4,55 %","77,85 %",63,"-4,55 %","65,79 %",1,"-80,00 %","0,00 %"
B0015K9MTY,"Xavax Filtre à fibres longues pour hottes aspirantes (2 filtres universels pour extraction par extraction, sur mesure, 57 x 47 cm) Blanc",xavax,"267,20 €","-17,46 %","-68,85 %","88,09 €","-12,70 %","-73,02 %",26,"-18,75 %","-75,24 %",1,"0,00 %","-66,67 %"
B0019DK6CY,"Hama Câble de liaison (RCA, 2 fiches mâles - 2 fiches mâles, avec lignee remote intégrée, 5 m) Bleu",Hama,"266,67 €","-0,88 %","-7,29 %","149,34 €","0,00 %","5,56 %",19,"0,00 %","5,56 %",1,,
B079J94XKT,"Xavax Filtre permanent pour machine à café et thé (Ø 12 cm, hauteur 10 cm, maillage en acier inoxydable, réutilisable, va au lave-vaisselle, rechange pour taille 4) Noir",xavax,"261,60 €","-23,73 %","-42,63 %","153,90 €","-6,25 %","-49,07 %",30,"-6,25 %","-49,15 %",4,"33,33 %",
B000N94K22,"Hama Pochette (pour 64 CD/DVD/Blu-ray, classeur de rangement, gain de place pour le bureau, le salon et la maison, étuis de transport) Noir",Hama,"260,58 €","-2,07 %","-14,80 %","151,44 €","4,35 %","-12,59 %",24,"4,35 %","-14,29 %",,"-100,00 %","-100,00 %"
B018VONYPY,"Hama Sonic Mobil 183 Enceintes pour Ordinateur - Système Stéréo 2.0, Haut-Parleurs Alimentés en USB, Connexion Jack 3.5mm - Noir/Rouge",Hama,"259,92 €","364,06 %","18,26 %","194,68 €","362,86 %","13,30 %",28,"366,67 %","27,27 %",,"-100,00 %",
B08SDR49RS,"Hama Radio Internet Dab/Dab+/FM, Bluetooth RX+TX DIR3510SCBTX (Radio numérique avec Lecteur CD, Compatible Spotify Connect, UNDOK App Control pr Smartphone ou Tablette, Télécommande, Réveil) Noir",Hama,"255,42 €",,,"301,76 €",,,1,,,,,
B01K47GW46,"Hama Album photo Jumbo ""La Fleur"" 30 x 30 cm (livre photo de 100 pages blanches, album photos souvenirs pour 400 photos au format 10x15 cm, à personnaliser- à coller, Idée Cadeau, motif Feuilles) Noir",Hama,"248,86 €","108,50 %","-2,94 %","160,77 €","187,50 %","28,48 %",23,"187,50 %","27,78 %",2,"100,00 %","100,00 %"
B000BGFJI6,"Hama Carte mémoire Photo (SD pour Photo/Classe 4, 2 GB - 10 MB/s) Bleu",Hama,"232,13 €","11,02 %","-64,04 %","136,40 €","10,71 %","-59,16 %",31,"10,71 %","-58,67 %",3,,
