Programme=[Retail],Aperçu du distributeur.=[Fabrication],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Trimestre],Champ de vision.=[01/01/2025 - 31/03/2025],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les commandes","Revenus basés sur les commandes – Période antérieure (%)","Revenus basés sur les commandes – Même période l'année dernière (%)","Unités commandées","Unités commandées – Période antérieure (%)","Unités commandées – Même période l'année dernière (%)","Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B08SDTHMQB,"Hama Album Photo bébé ""Our Baby"" personnalisable Scrapbooking (Album photo naissance, baptême, Cadeau d'anniversaire enfant, Style Mémo, 22,5 x 22 cm, 100 Pages, Max. 200 Photos 10x15 cm) Multicolore",Hama,"2 176,26 €","190,86 %","416,73 %",249,"196,43 %","555,26 %","2 150,04 €","168,53 %","393,83 %","1 355,40 €","172,95 %","425,88 %",246,"173,33 %","530,77 %",1,"0,00 %","-50,00 %"
B00006JABA,"Hama Adhésif Cinekett (pour films Super 8, 100 pièces, S8, 1 piste audio libre) Blanc/Rouge",Hama,"2 063,04 €","37,57 %","12,08 %",114,"37,35 %","9,62 %","2 009,67 €","34,05 %","11,37 %","1 330,05 €","33,71 %","8,85 %",111,"33,73 %","8,82 %",3,,"200,00 %"
B00AJKQ4YC,"Hama 2 Pieds Enceintes Universels (Supports Haut-Parleur, Hauteur réglable Max. 123 cm, antidérapant, Charge Max. 5 kg/Pied, câbles cachés, Haut-parleurs Hi-FI/Stéréo/Home Cinema) Noir",Hama,"2 006,69 €","-36,25 %","-53,27 %",31,"-39,22 %","-58,11 %","2 070,43 €","-34,10 %","-51,14 %","1 280,96 €","-37,25 %","-56,16 %",32,"-37,25 %","-56,16 %",4,"100,00 %","0,00 %"
B0002W5WBI,"Hama Boîtier Slim (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 100) Noir/Transparent",Hama,"1 986,82 €","-6,38 %","-20,75 %",58,"-12,12 %","-13,43 %","1 952,42 €","-14,38 %","-22,13 %","1 520,76 €","-18,57 %","-14,93 %",57,"-18,57 %","-14,93 %",3,"200,00 %",
B0CNRZ9GWN,"Hama Boîte pour câbles Maxi (Boite Rangement pour Cables chargeurs et multiprises, boitier Cache câbles 40x15,5x13,5cm, Pieds en Caoutchouc) Blanc",Hama,"1 983,78 €","-20,04 %","65,61 %",100,"-27,54 %","75,44 %","1 808,87 €","-26,47 %","55,86 %","1 246,89 €","-35,04 %","61,82 %",89,"-35,04 %","61,82 %",7,"250,00 %",
B07CKR6PKL,"Hama Album photo enfant ""Batzi"" (taille de l'album de 19 x 25 cm, format pour 200 photos 10 x 15 cm, avec 100 pages, papier stratifié, insertion latérale des photos, ours assis) Marron",Hama,"1 958,34 €","60,87 %","-45,45 %",193,"127,06 %","-44,06 %","1 964,15 €","61,48 %","-46,60 %","1 233,27 €","127,06 %","-44,33 %",193,"127,06 %","-45,63 %",,"-100,00 %","-100,00 %"
B07T63BHGL,"Hama Album photo ""Hello Panda"" (pour 200 photos au format 10 x 15 cm, petit album de taille 22,5 x 22 cm, 100 pages blanches, panda, avec emplacement pour CD, élégant) Turquoise/Noir/Blanc",Hama,"1 926,29 €","65,44 %","33,35 %",188,"100,00 %","66,37 %","1 917,13 €","64,65 %","30,50 %","1 293,56 €","99,01 %","62,65 %",187,"98,94 %","62,61 %",3,,"-40,00 %"
B000N8UX88,"Hama Trépied Appareil Photo Star 20""",Hama,"1 886,92 €","293,47 %","493,00 %",315,"288,89 %","687,50 %","1 905,80 €","333,98 %","498,93 %","1 107,36 €","338,42 %","700,17 %",320,"338,36 %","700,00 %",3,"200,00 %",
B000VRFBM4,"Hama Album Photo ""Fine Art"" (format 36 x 32 cm, 50 pages noires, à spirale) Noir",Hama,"1 873,93 €","-25,33 %","28,81 %",109,"-26,85 %","9,00 %","1 873,93 €","-25,80 %","30,41 %","878,13 €","-27,34 %","10,25 %",109,"-27,33 %","10,10 %",4,"300,00 %",
B06XB2Y8KR,"Hama Album traditionnel ""Lazise"" (taille de l'album de 22,5 x 22 cm, pour 200 photos au format 10 cm x 15 cm, 100 pages, avec pochette CD, élégant) Blanc/Noir/Rose",Hama,"1 859,77 €","184,23 %","138,36 %",208,"264,91 %","166,67 %","1 824,81 €","169,40 %","130,95 %","1 137,36 €","246,48 %","162,52 %",204,"245,76 %","161,54 %",2,"0,00 %","100,00 %"
